country,year,dec_1,dec_2,dec_3,dec_4,dec_5,dec_6,dec_7,dec_8,dec_9,top_10,top_5,top_1
Indonesia,2019,-0.1,0.2,0.5,0.9,1.5,2.2,3.2,5.9,11.7,74.1,63.7,44.6
Indonesia,2020,-0.1,0.3,0.6,1.3,2.2,3.3,5.1,8.3,12.8,66.2,55.5,36.6
