,Tahun,2020,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,
Negara,,,,,,,,,,,,
MALAYSIA,,"605,717,325.76","728,495,138.13","682,434,343.54","494,424,608.28","489,699,529.94","544,449,675.58","672,397,208.75","611,404,242.81","686,410,461.96","716,429,100.75","6,231,861,635.50"
PHILIPPINES,,"535,549,460.40","571,739,739.26","444,029,430.31","296,412,047.44","305,301,008.08","431,547,751.55","488,550,327.40","507,038,871.32","561,238,793.14","613,967,261.22","4,755,374,690.12"
Totals,,"1,141,266,786.16","1,300,234,877.38","1,126,463,773.85","790,836,655.72","795,000,538.03","975,997,427.13","1,160,947,536.15","1,118,443,114.13","1,247,649,255.09","1,330,396,361.97","10,987,236,325.62"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_44_21_583Z,,,,,,,,,,,,
