,Tahun,2019,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
SINGAPORE,,"1,125,101,924.61","1,066,755,554.38","1,125,870,520.14","754,151,006.59","1,196,586,008.46","899,790,071.39","1,429,674,368.91","1,142,406,597.53","1,095,171,264.44","1,080,676,360.43","1,021,017,258.40","979,528,786.22","12,916,729,721.49"
THAILAND,,"520,102,958.94","561,285,277.66","567,238,699.77","556,096,134.25","596,510,455.69","403,024,435.48","540,855,590.69","566,597,866.57","473,440,604.80","572,124,346.82","483,315,511.60","377,801,525.47","6,218,393,407.74"
Totals,,"1,645,204,883.55","1,628,040,832.03","1,693,109,219.91","1,310,247,140.84","1,793,096,464.15","1,302,814,506.86","1,970,529,959.60","1,709,004,464.09","1,568,611,869.23","1,652,800,707.25","1,504,332,770.00","1,357,330,311.69","19,135,123,129.23"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_43_32_667Z,,,,,,,,,,,,,,
