,Tahun,2019,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
CHINA,,"1,924,579,308.16","1,670,113,279.22","2,220,530,014.59","2,160,336,617.59","2,428,457,194.45","1,923,119,125.87","2,513,216,898.93","2,454,165,191.52","2,572,295,980.06","2,909,173,564.80","2,650,820,232.11","2,535,079,709.10","27,961,887,116.42"
Totals,,"1,924,579,308.16","1,670,113,279.22","2,220,530,014.59","2,160,336,617.59","2,428,457,194.45","1,923,119,125.87","2,513,216,898.93","2,454,165,191.52","2,572,295,980.06","2,909,173,564.80","2,650,820,232.11","2,535,079,709.10","27,961,887,116.42"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_37_41_497Z,,,,,,,,,,,,,,
