,Tahun,2018,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
"KOREA, REPUBLIC OF",,"651,319,949.22","637,049,119.00","835,535,568.65","750,057,024.43","836,799,013.45","710,822,096.53","880,468,039.58","927,455,263.20","1,055,448,872.03","755,238,646.78","766,639,018.76","733,220,210.91","9,540,052,822.53"
Totals,,"651,319,949.22","637,049,119.00","835,535,568.65","750,057,024.43","836,799,013.45","710,822,096.53","880,468,039.58","927,455,263.20","1,055,448,872.03","755,238,646.78","766,639,018.76","733,220,210.91","9,540,052,822.53"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_40_52_710Z,,,,,,,,,,,,,,
