,Tahun,2020,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,
Negara,,,,,,,,,,,,
CAMBODIA,,"62,364,331.12","61,000,762.18","46,381,726.96","33,366,179.29","42,127,081.71","40,919,527.24","43,263,242.58","49,207,138.16","28,202,043.29","47,127,838.66","453,959,871.20"
LAO PEOPLES DEM. REP.,,"668,065.45","566,391.71","497,412.13","437,413.17","108,709.76","383,843.97","304,702.29","171,050.04","535,563.48","554,121.52","4,227,273.53"
Totals,,"63,032,396.57","61,567,153.89","46,879,139.10","33,803,592.46","42,235,791.47","41,303,371.21","43,567,944.87","49,378,188.20","28,737,606.76","47,681,960.19","458,187,144.73"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_46_24_558Z,,,,,,,,,,,,
