,Tahun,2018,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
JAPAN,,"1,766,163,888.63","1,590,683,081.39","1,642,589,362.82","1,632,213,625.70","1,644,441,028.50","1,500,103,297.80","1,828,545,894.61","1,718,704,172.69","1,581,728,451.64","1,484,440,645.68","1,652,931,474.94","1,423,061,250.20","19,465,606,174.60"
Totals,,"1,766,163,888.63","1,590,683,081.39","1,642,589,362.82","1,632,213,625.70","1,644,441,028.50","1,500,103,297.80","1,828,545,894.61","1,718,704,172.69","1,581,728,451.64","1,484,440,645.68","1,652,931,474.94","1,423,061,250.20","19,465,606,174.60"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_40_33_566Z,,,,,,,,,,,,,,
