,Tahun,2018,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
MALAYSIA,,"731,226,715.14","734,785,391.26","749,622,328.53","764,773,596.25","795,193,925.73","703,935,326.24","787,239,555.91","817,880,504.56","734,917,523.18","873,045,276.58","771,958,091.04","806,997,712.04","9,271,575,946.44"
PHILIPPINES,,"462,395,306.27","527,754,853.07","535,864,312.83","576,847,058.57","621,184,172.93","543,309,443.72","648,292,322.00","648,158,216.55","620,605,576.70","625,517,564.18","556,807,413.46","465,432,707.95","6,832,168,948.23"
Totals,,"1,193,622,021.40","1,262,540,244.33","1,285,486,641.37","1,341,620,654.82","1,416,378,098.66","1,247,244,769.95","1,435,531,877.91","1,466,038,721.11","1,355,523,099.88","1,498,562,840.76","1,328,765,504.50","1,272,430,419.99","16,103,744,894.67"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_45_25_113Z,,,,,,,,,,,,,,
