,Tahun,2019,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
NEW ZEALAND,,"35,228,231.37","36,547,508.75","30,578,220.92","49,412,155.98","43,315,805.12","28,980,805.29","40,759,937.60","33,787,348.94","42,362,910.70","35,174,865.15","33,942,541.44","37,422,865.46","447,513,196.74"
Totals,,"35,228,231.37","36,547,508.75","30,578,220.92","49,412,155.98","43,315,805.12","28,980,805.29","40,759,937.60","33,787,348.94","42,362,910.70","35,174,865.15","33,942,541.44","37,422,865.46","447,513,196.74"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_39_25_234Z,,,,,,,,,,,,,,
