,Tahun,2018,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
AUSTRALIA,,"209,083,105.47","180,308,451.36","295,879,675.93","218,095,679.22","283,234,556.63","185,024,065.75","219,239,016.80","304,807,072.50","308,575,738.18","225,575,272.87","193,096,198.87","196,706,951.63","2,819,625,785.20"
Totals,,"209,083,105.47","180,308,451.36","295,879,675.93","218,095,679.22","283,234,556.63","185,024,065.75","219,239,016.80","304,807,072.50","308,575,738.18","225,575,272.87","193,096,198.87","196,706,951.63","2,819,625,785.20"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_39_59_404Z,,,,,,,,,,,,,,
