,Tahun,2019,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
MALAYSIA,,"577,496,100.56","677,938,256.90","701,843,809.94","731,019,325.70","773,246,342.46","659,041,463.32","825,093,592.63","713,284,437.47","749,195,805.89","835,015,937.05","719,812,692.63","838,827,196.22","8,801,814,960.75"
PHILIPPINES,,"540,976,010.28","448,387,851.86","620,152,108.92","562,090,382.74","602,796,890.88","503,763,077.00","585,690,067.36","613,948,922.86","674,959,849.26","595,831,923.01","544,871,805.95","476,642,557.25","6,770,111,447.36"
Totals,,"1,118,472,110.84","1,126,326,108.75","1,321,995,918.86","1,293,109,708.44","1,376,043,233.34","1,162,804,540.31","1,410,783,659.98","1,327,233,360.32","1,424,155,655.15","1,430,847,860.05","1,264,684,498.58","1,315,469,753.47","15,571,926,408.11"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_44_46_506Z,,,,,,,,,,,,,,
