,Tahun,2018,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
SINGAPORE,,"1,061,088,036.84","1,295,596,136.01","954,715,053.34","1,099,674,331.82","1,070,954,105.56","1,011,097,599.42","1,111,849,118.41","924,968,270.54","796,717,432.03","1,159,994,857.23","1,010,109,843.31","1,418,281,261.91","12,915,046,046.42"
THAILAND,,"582,633,541.32","575,170,424.14","598,684,545.07","529,701,981.48","676,680,847.89","507,447,178.72","613,079,381.41","590,884,835.94","560,452,574.98","617,578,474.64","550,516,964.64","418,070,142.98","6,820,900,893.20"
Totals,,"1,643,721,578.15","1,870,766,560.15","1,553,399,598.41","1,629,376,313.30","1,747,634,953.45","1,518,544,778.15","1,724,928,499.82","1,515,853,106.47","1,357,170,007.02","1,777,573,331.86","1,560,626,807.95","1,836,351,404.89","19,735,946,939.63"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_42_52_794Z,,,,,,,,,,,,,,
