,Tahun,2018,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
NEW ZEALAND,,"49,471,163.94","38,223,029.70","31,863,629.55","26,739,662.89","37,849,484.87","25,834,777.47","41,972,148.26","48,008,904.28","45,996,529.45","45,242,614.03","54,154,150.47","45,301,589.65","490,657,684.58"
Totals,,"49,471,163.94","38,223,029.70","31,863,629.55","26,739,662.89","37,849,484.87","25,834,777.47","41,972,148.26","48,008,904.28","45,996,529.45","45,242,614.03","54,154,150.47","45,301,589.65","490,657,684.58"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_41_07_420Z,,,,,,,,,,,,,,
