,Tahun,2018,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
CHINA,,"2,115,221,980.94","2,166,569,321.30","2,504,816,832.98","2,041,805,596.22","2,309,190,547.20","2,224,881,629.57","2,461,233,948.81","2,273,886,953.50","2,033,175,403.80","2,497,317,621.25","2,385,840,324.06","2,118,293,935.26","27,132,234,094.89"
Totals,,"2,115,221,980.94","2,166,569,321.30","2,504,816,832.98","2,041,805,596.22","2,309,190,547.20","2,224,881,629.57","2,461,233,948.81","2,273,886,953.50","2,033,175,403.80","2,497,317,621.25","2,385,840,324.06","2,118,293,935.26","27,132,234,094.89"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_40_16_594Z,,,,,,,,,,,,,,
