,Tahun,2019,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
AUSTRALIA,,"180,976,177.45","136,560,322.25","160,970,143.28","193,077,558.83","216,571,263.02","189,302,618.70","259,789,023.68","193,816,853.62","223,088,206.37","217,377,887.52","181,544,259.92","175,550,795.68","2,328,625,110.32"
Totals,,"180,976,177.45","136,560,322.25","160,970,143.28","193,077,558.83","216,571,263.02","189,302,618.70","259,789,023.68","193,816,853.62","223,088,206.37","217,377,887.52","181,544,259.92","175,550,795.68","2,328,625,110.32"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_38_19_665Z,,,,,,,,,,,,,,
