,Tahun,2019,,,,,,,,,,,,Totals
,Bulan,[01] Januari,[02] Februari,[03] Maret,[04] April,[05] Mei,[06] Juni,[07] Juli,[08] Agustus,[09] September,[10] Oktober,[11] November,[12] Desember,
Negara,,,,,,,,,,,,,,
"KOREA, REPUBLIC OF",,"714,956,548.87","652,401,811.18","726,909,956.03","577,359,861.02","572,796,549.84","563,653,511.32","638,660,936.24","547,970,775.18","534,073,406.86","538,964,128.74","543,154,492.51","623,506,640.87","7,234,408,618.65"
Totals,,"714,956,548.87","652,401,811.18","726,909,956.03","577,359,861.02","572,796,549.84","563,653,511.32","638,660,936.24","547,970,775.18","534,073,406.86","538,964,128.74","543,154,492.51","623,506,640.87","7,234,408,618.65"
Sumber : https://www.bps.go.id di akses pada 2020_12_10T15_39_07_657Z,,,,,,,,,,,,,,
